region,n_articles,n_cases,long,lat,pop2020,area,density
China,583,84223,104.1954,35.8617,1439323776,9706961,147.7068
USA,462,695353,-95.7129,37.0902,331002651,9372610,35.1092
UK,115,114221,-2.86563362,54.12387156,67886011,242900,278.0164
India,64,15712,79.61197355,22.88578035,1380004385,3287590,415.629
Italy,56,175925,12.07000946,42.79663568,60461826,301336,200.9387
Germany,40,139897,10.38577693,51.10697903,83783942,357114,233.8666
France,31,110721,2.53618475,46.18700581,65273511,551695,118.0539
Japan,31,10361,138.2529,36.2048,126476461,377930,335.6714
Canada,30,32400,-106.3468,56.1304,37742154,9984670,3.7468
Australia,27,6606,134.4909988,-25.73288736,25499884,7692024,3.2765
Brazil,26,33682,-53.09783199,-10.78777567,212559417,8515767,24.7834
Netherlands,22,31589,5.2814735,52.10080804,17134872,41850,408.5336
Iran,22,82211,54.27407071,32.57503287,83992949,1648195,50.3059
Spain,21,191726,-3.64754874,40.24448626,46754778,505992,92.3666
Switzerland,16,27322,8.20866006,46.79785296,8654622,41284,208.104
South Korea,16,10661,127.8391693,36.3852463,51269185,100210,511.1796
Israel,13,13107,35.00444995,31.4611019,8655535,20770,410.177
Pakistan,12,7993,69.33958027,29.94975221,220892340,881912,245.5634
Belgium,10,37183,4.64064572,50.63981435,11589623,30528,377.9916
Taiwan,10,0,120.9542726,23.75400343,23816775,36193,656.8639
New Zealand,9,1098,174.886,-40.9006,4822233,270467,17.6845
Mexico,9,6875,-102.5234504,23.94753932,128932753,1964375,64.9446
Bangladesh,9,2456,90.23812793,23.86730412,164689383,147570,1104.8734
Singapore,8,5573,103.8172532,1.35877066,5850342,710,8175.1225
Poland,8,8742,19.39011841,52.12759537,37846611,312679,121.1715
Greece,6,2207,22.95556207,39.07466973,10423054,131990,79.3504
Malaysia,6,5305,101.9758,4.2105,32365999,330803,96.5825
Philippines,6,6087,122.8839215,11.77539737,109581078,342353,315.8045
United Arab Emirates,5,6781,54.30015737,23.90527175,9890402,83600,116.8724
Portugal,5,19685,-8.50105506,39.59550247,10196709,92090,111.0456
Ukraine,5,5449,31.38325794,48.99656784,43733762,603500,72.8975
Turkey,5,82329,35.16895529,39.06160342,84339067,783562,106.4748
Chile,4,9730,-71.38255879,-37.73069754,19116201,756102,25.0655
Nigeria,4,373,8.08944243,9.59411807,206139589,923768,217.5477
Qatar,3,5448,51.18478512,25.30600936,2881053,11586,244.4387
Denmark,3,7242,10.02799418,55.98126391,5792202,43094,133.9369
Sweden,3,13822,16.74371219,62.79232016,10099265,450295,22.2885
Colombia,3,3439,-73.08114936,3.91383156,50882891,1141748,44.0898
South Africa,3,3034,25.08388384,-29.0003377,59308690,1221037,47.9578
Vietnam,3,268,108.2772,14.0583,97338579,331212,291.2398
Slovenia,2,1317,14.8044464,46.11555444,2078938,20273,102.5331
Ireland,2,14758,-8.13793167,53.1754426,4937786,70273,69.479
Norway,2,6984,8.4689,60.472,5421241,323802,16.6116
Bulgaria,2,878,25.21552327,42.76889988,6948445,110879,63.133
Czech Republic,2,6654,15.31240065,49.73341073,10708981,78865,135.5381
Saudi Arabia,2,9362,44.53687041,24.12245467,34813871,2149690,15.9411
Argentina,2,2784,-65.17980881,-35.38135347,45195774,2780400,16.1058
Uganda,2,55,32.36907536,1.27469024,45741007,241550,183.273
Thailand,2,2765,101.0028835,15.11816347,69799978,513120,135.6906
Egypt,2,3032,29.8618993,26.49593108,102334404,1002450,100.1427
Ethiopia,2,105,39.6008014,8.62278417,114963588,1104300,101.493
Russia,2,42853,96.68657347,61.98052168,145934462,17098242,8.5314
Iceland,1,1760,-18.57397086,64.99575263,341243,103000,3.2916
Macedonia,1,1170,21.68211343,41.59531059,2083374,25713,81.0275
Palestine,1,322,35.2332,31.9522,5101414,6220,800.8714
Finland,1,3681,26.27467024,64.49884844,5540720,338424,16.3468
Austria,1,14662,14.12647809,47.58549847,9006398,83871,106.7723
Hungary,1,1916,19.39559381,47.16277712,9660351,93028,104.105
Tunisia,1,866,9.55288287,34.11956663,11818619,163610,71.4792
Ecuador,1,9022,-78.75203573,-1.42381949,17643054,276841,62.7568
Sri Lanka,1,254,80.70107795,7.61266309,21413249,65610,325.0074
Peru,1,13489,-74.38242889,-9.15280281,32971854,1285216,25.2957
Morocco,1,2820,-8.45616045,29.83762793,36910560,446550,81.6745
Iraq,1,1513,43.74353204,33.03970511,40222493,438317,89.6835
Sudan,1,66,29.94047226,15.99035431,43849260,1886068,22.6997
Myanmar,1,107,96.48843207,21.18566514,54409800,676578,79.8805
Afghanistan,0,996,66.00473115,33.83523216,38928346,652230,58.3257
Albania,0,548,20.04983034,41.14245128,2877797,28748,100.2128
Algeria,0,2534,2.61732102,28.15893844,43851044,2381741,18.0763
American Samoa,0,0,-170.7180186,-14.30448922,55191,199,277.9497
Andorra,0,704,1.56053368,42.54229174,77265,468,164.8333
Angola,0,19,17.53736149,-12.29336112,32866272,1246700,25.5276
Anguilla,0,3,-63.06498464,18.22396692,15003,91,163.3956
Antarctica,0,0,19.92113271,-80.50856414,1,1,1
Antigua,0,23,-61.8175,17.0747,97929,442,219.724
Armenia,0,1248,44.9299343,40.28952206,2963243,29743,99.4429
Aruba,0,96,-69.98267466,12.52088881,106766,180,590.6333
Ascension Island,0,0,-14.3559,-7.9467,1,1,1
Azerbaijan,0,1373,47.54599646,40.28827674,10139177,86600,116.0245
Azores,0,0,-25.6756,37.7412,1,1,1
Bahamas,0,54,-76.62835738,24.29031222,393244,13943,27.9339
Bahrain,0,1873,50.54197759,26.04200845,1701575,765,2145.3229
Barbados,0,75,-59.55980198,13.18145371,287375,430,667.5
Barbuda,0,0,-61.7713,17.6266,1,1,1
Belarus,0,4779,28.03208711,53.53131155,9449323,207600,45.5318
Belize,0,18,-88.71010228,17.20027475,397628,22966,16.997
Benin,0,37,2.32784527,9.6417533,12123200,112622,104.7855
Bermuda,0,83,-64.75454185,32.31368594,62278,54,1157.5185
